Code,x,y
shipyard-taicang,107192,2504
shipyard-taicang,107024,2680
shipyard-taicang,106944,2952
shipyard-taicang,105744,3312
shipyard-taicang,105632,3248
shipyard-taicang,105176,3544
shipyard-taicang,104839,3512
shipyard-taicang,104602,3548
shipyard-taicang,104291,3467
shipyard-taicang,104113,3482
shipyard-taicang,103805,3424
shipyard-taicang,103397,3332
shipyard-taicang,103005,3136
shipyard-taicang,102921,2707
shipyard-taicang,102789,2655
shipyard-taicang,102201,2816
shipyard-taicang,101760,2872
shipyard-taicang,101308,2852
shipyard-taicang,100556,2595
shipyard-taicang,100316,2599
shipyard-taicang,100132,2495
shipyard-taicang,99956,2475
shipyard-taicang,99148,2527
shipyard-taicang,98899,2527
shipyard-taicang,97771,2319
shipyard-taicang,97628,2336
shipyard-taicang,97396,2392
shipyard-taicang,96976,2552
shipyard-taicang,96808,2580
shipyard-taicang,96528,2580
shipyard-taicang,96120,2576
shipyard-taicang,95660,2640
shipyard-taicang,95528,2692
shipyard-taicang,95208,2880
shipyard-taicang,94919,3068
taicang-nanhuizui,94446,1838
taicang-nanhuizui,94264,2098
taicang-nanhuizui,93890,2752
taicang-nanhuizui,93774,2886
taicang-nanhuizui,93700,2922
taicang-nanhuizui,93238,2870
taicang-nanhuizui,92700,2868
zhaobao-jiushan,93698,2824
zhaobao-jiushan,93174,2760
zhaobao-jiushan,92700,2754
zhaobao-jiushan,92284,2734
zhaobao-jiushan,92200,2728
zhaobao-jiushan,91984,2770
zhaobao-jiushan,92242,2768
zhaobao-jiushan,92378,2786
zhaobao-jiushan,92382,2844
zhaobao-jiushan,92120,2832
zhaobao-jiushan,91824,2904
zhaobao-jiushan,91072,2768
zhaobao-jiushan,90744,2744
zhaobao-jiushan,90376,2800
zhaobao-jiushan,90040,2896
zhaobao-jiushan,89648,3008
zhaobao-jiushan,89596,2980
zhaobao-jiushan,89732,2946
zhaobao-jiushan,90094,2834
zhaobao-jiushan,90392,2738
zhaobao-jiushan,90616,2698
zhaobao-jiushan,90866,2690
zhaobao-jiushan,91088,2728
zhaobao-jiushan,91340,2772
zhaobao-jiushan,91542,2810
zhaobao-jiushan,91680,2840
zhaobao-jiushan,91676,2788
zhaobao-jiushan,91050,2680
zhaobao-jiushan,90790,2648
zhaobao-jiushan,90604,2658
zhaobao-jiushan,90444,2678
zhaobao-jiushan,89568,2944
zhaobao-jiushan,89544,2990
zhaobao-jiushan,88552,2912
zhaobao-jiushan,88376,2920
zhaobao-jiushan,88040,3008
zhaobao-jiushan,87496,3152
zhaobao-jiushan,87296,3160
zhaobao-jiushan,86920,3040
zhaobao-jiushan,87344,3096
zhaobao-jiushan,87848,3000
zhaobao-jiushan,88264,2880
zhaobao-jiushan,88504,2864
zhaobao-jiushan,88896,2872
zhaobao-jiushan,89384,2920
zhaobao-jiushan,89368,2832
zhaobao-jiushan,88648,2800
zhaobao-jiushan,88448,2792
zhaobao-jiushan,88264,2808
zhaobao-jiushan,87840,2944
zhaobao-jiushan,87504,3024
zhaobao-jiushan,87248,3032
jiushan-dongtou,86816,2924
jiushan-dongtou,86640,2892
jiushan-dongtou,86388,2956
jiushan-dongtou,85868,3172
jiushan-dongtou,85568,3252
jiushan-dongtou,84168,3252
jiushan-dongtou,84188,3184
jiushan-dongtou,84616,3216
jiushan-dongtou,84948,3208
jiushan-dongtou,84944,3168
jiushan-dongtou,84276,3144
jiushan-dongtou,84280,3084
jiushan-dongtou,84944,3116
jiushan-dongtou,84928,3052
jiushan-dongtou,84284,3020
jiushan-dongtou,84192,3028
jiushan-dongtou,84088,3236
jiushan-dongtou,83788,3284
jiushan-dongtou,83392,3404
jiushan-dongtou,83060,3440
jiushan-dongtou,82484,3436
jiushan-dongtou,81852,3332
jiushan-dongtou,81880,3264
jiushan-dongtou,82268,3340
jiushan-dongtou,82528,3364
jiushan-dongtou,82836,3396
jiushan-dongtou,82836,3340
jiushan-dongtou,82132,3260
jiushan-dongtou,81624,3152
jiushan-dongtou,81424,3100
dongtou-fuying,81576,3254
dongtou-fuying,81344,3224
dongtou-fuying,81028,3268
dongtou-fuying,80532,3380
dongtou-fuying,80072,3396
dongtou-fuying,79700,3352
dongtou-fuying,79272,3240
dongtou-fuying,78836,3148
dongtou-fuying,78688,3180
dongtou-fuying,78584,3264
dongtou-fuying,78344,3348
dongtou-fuying,77468,3252
dongtou-fuying,77124,3220
dongtou-fuying,76700,3108
dongtou-fuying,76244,2980
dongtou-fuying,75988,2836
beiji-huangwan,80504,3296
beiji-huangwan,80320,2896
beiji-huangwan,80096,2624
beiji-huangwan,79768,2448
beiji-huangwan,78592,2240
beiji-huangwan,78040,2520
beiji-huangwan,77784,2608
beiji-huangwan,77440,2584
beiji-huangwan,76952,2400
beiji-huangwan,76536,2232
beiji-huangwan,76208,2184
beiji-huangwan,75784,2208
beiji-huangwan,75464,2272
beiji-huangwan,75056,2376
beiji-huangwan,74648,2520
beiji-huangwan,74520,2624
beiji-huangwan,74296,2912
huangwan-dinghai,74648,2688
huangwan-dinghai,74336,3040
huangwan-dinghai,74168,3184
huangwan-dinghai,73920,3296
huangwan-dinghai,73656,3312
huangwan-dinghai,73360,3296
huangwan-dinghai,73216,3232
huangwan-dinghai,73056,3264
around-wuhushan,72700,3396
around-wuhushan,72524,3424
around-wuhushan,72348,3404
around-wuhushan,72168,3304
around-wuhushan,72052,3152
around-wuhushan,72048,3020
around-wuhushan,72084,2972
wuhu-niushan,71796,3308
wuhu-niushan,71548,3344
wuhu-niushan,71352,3340
wuhu-niushan,71092,3224
wuhu-niushan,70708,3032
wuhu-niushan,70520,3012
wuhu-niushan,70232,3104
wuhu-niushan,69772,3308
wuhu-niushan,69332,3368
wuhu-niushan,69040,3368
aceh-kepulauanarwah,25624,2524
aceh-kepulauanarwah,25820,2100
aceh-kepulauanarwah,26060,1856
aceh-kepulauanarwah,26360,1744
aceh-kepulauanarwah,26876,1688
aceh-kepulauanarwah,27140,1696
aceh-kepulauanarwah,27644,1864
aceh-kepulauanarwah,27956,1912
aceh-kepulauanarwah,28568,1912
aceh-kepulauanarwah,28816,1928
aceh-kepulauanarwah,29720,2188
aceh-kepulauanarwah,30316,2064
aceh-kepulauanarwah,30332,2120
aceh-kepulauanarwah,29932,2212
aceh-kepulauanarwah,29732,2240
aceh-kepulauanarwah,29256,2108
aceh-kepulauanarwah,28900,2000
aceh-kepulauanarwah,28464,1972
aceh-kepulauanarwah,28472,2052
aceh-kepulauanarwah,28780,2056
aceh-kepulauanarwah,29252,2176
aceh-kepulauanarwah,29716,2304
aceh-kepulauanarwah,29820,2268
aceh-kepulauanarwah,30284,2208
aceh-kepulauanarwah,30728,2072
kepulauanarwah-malacca,30136,1722
kepulauanarwah-malacca,30398,1696
kepulauanarwah-malacca,30910,1964
kepulauanarwah-malacca,31190,2004
kepulauanarwah-malacca,31784,1978
kepulauanarwah-malacca,32346,2016
kepulauanarwah-malacca,32606,1710
kepulauanarwah-malacca,32556,1680
kepulauanarwah-malacca,32338,1932
kepulauanarwah-malacca,31564,1902
kepulauanarwah-malacca,31570,1828
kepulauanarwah-malacca,32308,1874
kepulauanarwah-malacca,32628,1448
kepulauanarwah-malacca,32704,1114
malacca-karimun,32736,1424
malacca-karimun,32948,1976
malacca-karimun,33120,2236
malacca-karimun,33412,2340
malacca-karimun,33524,2352
malacca-karimun,33744,2476
malacca-karimun,33600,2292
malacca-karimun,34192,2100
malacca-karimun,34560,2020
malacca-karimun,34976,2008
karimun-singaporestrait,35068,1874
karimun-singaporestrait,35236,1714
karimun-singaporestrait,35420,1602
karimun-singaporestrait,35748,1516
karimun-singaporestrait,36104,1510
karimun-singaporestrait,36292,1494
karimun-singaporestrait,36712,1330
karimun-singaporestrait,36972,1270
singaporestrait-pedrabranca,37132,1270
singaporestrait-pedrabranca,37656,1264
singaporestrait-pedrabranca,37732,1066
singaporestrait-pedrabranca,37934,852
singaporestrait-pedrabranca,38170,690
singaporestrait-pedrabranca,38280,634
pedrabranca-pulauaur,37752,1384
pedrabranca-pulauaur,38036,1464
pedrabranca-pulauaur,38340,1464
pedrabranca-pulauaur,38952,1572
pedrabranca-pulauaur,39320,1472
pedrabranca-pulauaur,39464,1478
pulauaur-conlon,39568,1488
pulauaur-conlon,39892,1600
pulauaur-conlon,40328,1616
pulauaur-conlon,40724,1592
pulauaur-conlon,41108,1676
pulauaur-conlon,41408,1764
conlon-muidinh,49144,2324
conlon-muidinh,49936,2738
conlon-muidinh,50274,2752
conlon-muidinh,50604,2678
conlon-muidinh,51056,2472
dabia-nhonhai,52814,2980
dabia-nhonhai,53234,3080
dabia-nhonhai,53644,3118
dabia-nhonhai,53962,3118
dabia-nhonhai,54018,3358
dabia-nhonhai,54148,3582
dabia-nhonhai,54352,3752
dabia-nhonhai,54506,3766
nhonhai-culaore,55096,3810
nhonhai-culaore,55506,3872
nhonhai-culaore,55796,3868
nhonhai-culaore,56070,3816
nhonhai-culaore,56464,3856
nhonhai-culaore,56636,3832
culaore-dazhou,57956,3344
culaore-dazhou,58204,3096
culaore-dazhou,58492,2924
culaore-dazhou,58788,2816
culaore-dazhou,59172,2772
culaore-dazhou,59420,2784
dazhou-pedroblanco,60136,3304
dazhou-pedroblanco,60848,3444
dazhou-pedroblanco,62208,3248
dazhou-pedroblanco,62296,3288
dazhou-pedroblanco,62500,3284
pedroblanco-taiwu,62768,3120
pedroblanco-taiwu,63232,2992
pedroblanco-taiwu,63624,2976
pedroblanco-taiwu,64008,3040
pedroblanco-taiwu,64248,3128
pedroblanco-taiwu,64960,3128
pedroblanco-taiwu,65104,3088
pedroblanco-taiwu,65608,3216
pedroblanco-taiwu,65968,3312
pedroblanco-taiwu,66576,3280
pedroblanco-taiwu,66904,3240
taiwu-wuqiu,65648,3376
taiwu-wuqiu,66000,3436
taiwu-wuqiu,66920,3380
wuqiu-juguang,68920,3452
wuqiu-juguang,69204,3624
wuqiu-juguang,69496,3728
wuqiu-juguang,69772,3768
wuqiu-juguang,70184,3680
wuqiu-juguang,70496,3652
wuqiu-juguang,70736,3700
wuqiu-juguang,70968,3800
juguang-dongyin,71044,3704
juguang-dongyin,71532,3780
juguang-dongyin,71792,3776
juguang-dongyin,72164,3720
juguang-dongyin,72856,3708
juguang-dongyin,73480,3720
juguang-dongyin,73728,3712
juguang-dongyin,74212,3832
juguang-dongyin,74448,3956
juguang-dongyin,74612,4080
juguang-dongyin,74812,4100
dongyin-nanji,75268,3944
dongyin-nanji,75556,3812
dongyin-nanji,75756,3792
dongyin-nanji,75904,3812
dongyin-nanji,75988,3960
dongyin-nanji,76416,3964
dongyin-nanji,76696,3980
dongyin-nanji,77272,4112
dongyin-nanji,77692,4108
dongyin-nanji,77908,4084
dongyin-nanji,78320,3992
nanji-tantoushan,79280,3944
nanji-tantoushan,79688,3588
nanji-tantoushan,79836,3488
nanji-tantoushan,80396,3496
nanji-tantoushan,80996,3392
nanji-tantoushan,81408,3360
nanji-tantoushan,81580,3384
nanji-tantoushan,82340,3560
nanji-tantoushan,82964,3588
nanji-tantoushan,83428,3508
nanji-tantoushan,83908,3389
nanji-tantoushan,84156,3357
nanji-tantoushan,84656,3429
nanji-tantoushan,85336,3377
nanji-tantoushan,85656,3361
nanji-tantoushan,86432,3085
nanji-tantoushan,86676,3013
nanji-tantoushan,86828,3025
nanji-tantoushan,86816,3073
nanji-tantoushan,86660,3061
nanji-tantoushan,86508,3097
nanji-tantoushan,86092,3285
nanji-tantoushan,85752,3393
nanji-tantoushan,85640,3405
nanji-tantoushan,85656,3465
nanji-tantoushan,85904,3429
nanji-tantoushan,86536,3149
nanji-tantoushan,86564,3185
nanji-tantoushan,86040,3437
nanji-tantoushan,85928,3465
nanji-tantoushan,85660,3521
nanji-tantoushan,85680,3565
nanji-tantoushan,86040,3509
nanji-tantoushan,86680,3197
tantoushan-taicang,86912,3156
tantoushan-taicang,87160,3276
tantoushan-taicang,87472,3292
tantoushan-taicang,87848,3204
tantoushan-taicang,88328,3060
tantoushan-taicang,89708,3116
tantoushan-taicang,90476,2864
tantoushan-taicang,90648,2824
