Code,x,y
shipyard-taicang,107192,2504
shipyard-taicang,107024,2680
shipyard-taicang,106944,2952
shipyard-taicang,105744,3312
shipyard-taicang,105632,3248
shipyard-taicang,105176,3544
shipyard-taicang,104839,3512
shipyard-taicang,104602,3548
shipyard-taicang,104291,3467
shipyard-taicang,104113,3482
shipyard-taicang,103805,3424
shipyard-taicang,103397,3332
shipyard-taicang,103005,3136
shipyard-taicang,102921,2707
shipyard-taicang,102789,2655
shipyard-taicang,102201,2816
shipyard-taicang,101760,2872
shipyard-taicang,101308,2852
shipyard-taicang,100556,2595
shipyard-taicang,100316,2599
shipyard-taicang,100132,2495
shipyard-taicang,99956,2475
shipyard-taicang,99148,2527
shipyard-taicang,98899,2527
shipyard-taicang,97771,2319
shipyard-taicang,97628,2336
shipyard-taicang,97396,2392
shipyard-taicang,96976,2552
shipyard-taicang,96808,2580
shipyard-taicang,96528,2580
shipyard-taicang,96120,2576
shipyard-taicang,95660,2640
shipyard-taicang,95528,2692
shipyard-taicang,95208,2880
shipyard-taicang,94919,3068
taicang-nanhuizui,94446,1838
taicang-nanhuizui,94264,2098
taicang-nanhuizui,93890,2752
taicang-nanhuizui,93774,2886
taicang-nanhuizui,93700,2922
taicang-nanhuizui,93238,2870
taicang-nanhuizui,92700,2868
zhaobaoshan-jiushan,93698,2824
zhaobaoshan-jiushan,93174,2760
zhaobaoshan-jiushan,92700,2754
zhaobaoshan-jiushan,92284,2734
zhaobaoshan-jiushan,92200,2728
zhaobaoshan-jiushan,91984,2770
zhaobaoshan-jiushan,92242,2768
zhaobaoshan-jiushan,92378,2786
zhaobaoshan-jiushan,92382,2844
zhaobaoshan-jiushan,92120,2832
zhaobaoshan-jiushan,91824,2904
zhaobaoshan-jiushan,91072,2768
zhaobaoshan-jiushan,90744,2744
zhaobaoshan-jiushan,90376,2800
zhaobaoshan-jiushan,90040,2896
zhaobaoshan-jiushan,89648,3008
zhaobaoshan-jiushan,89596,2980
zhaobaoshan-jiushan,89732,2946
zhaobaoshan-jiushan,90094,2834
zhaobaoshan-jiushan,90392,2738
zhaobaoshan-jiushan,90616,2698
zhaobaoshan-jiushan,90866,2690
zhaobaoshan-jiushan,91088,2728
zhaobaoshan-jiushan,91340,2772
zhaobaoshan-jiushan,91542,2810
zhaobaoshan-jiushan,91680,2840
zhaobaoshan-jiushan,91676,2788
zhaobaoshan-jiushan,91050,2680
zhaobaoshan-jiushan,90790,2648
zhaobaoshan-jiushan,90604,2658
zhaobaoshan-jiushan,90444,2678
zhaobaoshan-jiushan,89568,2944
zhaobaoshan-jiushan,89544,2990
zhaobaoshan-jiushan,88552,2912
zhaobaoshan-jiushan,88376,2920
zhaobaoshan-jiushan,88040,3008
zhaobaoshan-jiushan,87496,3152
zhaobaoshan-jiushan,87296,3160
zhaobaoshan-jiushan,86920,3040
zhaobaoshan-jiushan,87344,3096
zhaobaoshan-jiushan,87848,3000
zhaobaoshan-jiushan,88264,2880
zhaobaoshan-jiushan,88504,2864
zhaobaoshan-jiushan,88896,2872
zhaobaoshan-jiushan,89384,2920
zhaobaoshan-jiushan,89368,2832
zhaobaoshan-jiushan,88648,2800
zhaobaoshan-jiushan,88448,2792
zhaobaoshan-jiushan,88264,2808
zhaobaoshan-jiushan,87840,2944
zhaobaoshan-jiushan,87504,3024
zhaobaoshan-jiushan,87248,3032
jiushan-zhongjieshan,86816,2924
jiushan-zhongjieshan,86640,2892
jiushan-zhongjieshan,86388,2956
jiushan-zhongjieshan,85868,3172
jiushan-zhongjieshan,85568,3252
jiushan-zhongjieshan,84168,3252
jiushan-zhongjieshan,84188,3184
jiushan-zhongjieshan,84616,3216
jiushan-zhongjieshan,84948,3208
jiushan-zhongjieshan,84944,3168
jiushan-zhongjieshan,84276,3144
jiushan-zhongjieshan,84280,3084
jiushan-zhongjieshan,84944,3116
jiushan-zhongjieshan,84928,3052
jiushan-zhongjieshan,84284,3020
jiushan-zhongjieshan,84192,3028
jiushan-zhongjieshan,84088,3236
jiushan-zhongjieshan,83788,3284
jiushan-zhongjieshan,83392,3404
jiushan-zhongjieshan,83060,3440
jiushan-zhongjieshan,82484,3436
jiushan-zhongjieshan,81852,3332
jiushan-zhongjieshan,81880,3264
jiushan-zhongjieshan,82268,3340
jiushan-zhongjieshan,82528,3364
jiushan-zhongjieshan,82836,3396
jiushan-zhongjieshan,82836,3340
jiushan-zhongjieshan,82132,3260
jiushan-zhongjieshan,81624,3152
jiushan-zhongjieshan,81424,3100
zhongjieshan-furongshan,81576,3254
zhongjieshan-furongshan,81344,3224
zhongjieshan-furongshan,81028,3268
zhongjieshan-furongshan,80532,3380
zhongjieshan-furongshan,80072,3396
zhongjieshan-furongshan,79700,3352
zhongjieshan-furongshan,79272,3240
zhongjieshan-furongshan,78836,3148
zhongjieshan-furongshan,78688,3180
zhongjieshan-furongshan,78584,3264
zhongjieshan-furongshan,78344,3348
zhongjieshan-furongshan,77468,3252
zhongjieshan-furongshan,77124,3220
zhongjieshan-furongshan,76700,3108
zhongjieshan-furongshan,76244,2980
zhongjieshan-furongshan,75988,2836
dongluoshan-xiaoxiyang,80504,3296
dongluoshan-xiaoxiyang,80320,2896
dongluoshan-xiaoxiyang,80096,2624
dongluoshan-xiaoxiyang,79768,2448
dongluoshan-xiaoxiyang,78592,2240
dongluoshan-xiaoxiyang,78040,2520
dongluoshan-xiaoxiyang,77784,2608
dongluoshan-xiaoxiyang,77440,2584
dongluoshan-xiaoxiyang,76952,2400
dongluoshan-xiaoxiyang,76536,2232
dongluoshan-xiaoxiyang,76208,2184
dongluoshan-xiaoxiyang,75784,2208
dongluoshan-xiaoxiyang,75464,2272
dongluoshan-xiaoxiyang,75056,2376
dongluoshan-xiaoxiyang,74648,2520
dongluoshan-xiaoxiyang,74520,2624
dongluoshan-xiaoxiyang,74296,2912
xiaoxiyang-dinghai,74648,2688
xiaoxiyang-dinghai,74336,3040
xiaoxiyang-dinghai,74168,3184
xiaoxiyang-dinghai,73920,3296
xiaoxiyang-dinghai,73656,3312
xiaoxiyang-dinghai,73360,3296
xiaoxiyang-dinghai,73216,3232
xiaoxiyang-dinghai,73056,3264
around-wuhushan,72700,3396
around-wuhushan,72524,3424
around-wuhushan,72348,3404
around-wuhushan,72168,3304
around-wuhushan,72052,3152
around-wuhushan,72048,3020
around-wuhushan,72084,2972
wuhushan-dongsha,71796,3308
wuhushan-dongsha,71548,3344
wuhushan-dongsha,71352,3340
wuhushan-dongsha,71092,3224
wuhushan-dongsha,70708,3032
wuhushan-dongsha,70520,3012
wuhushan-dongsha,70232,3104
wuhushan-dongsha,69772,3308
wuhushan-dongsha,69332,3368
wuhushan-dongsha,69040,3368
sumatra-berkey,25624,2524
sumatra-berkey,25820,2100
sumatra-berkey,26060,1856
sumatra-berkey,26360,1744
sumatra-berkey,26876,1688
sumatra-berkey,27140,1696
sumatra-berkey,27644,1864
sumatra-berkey,27956,1912
sumatra-berkey,28568,1912
sumatra-berkey,28816,1928
sumatra-berkey,29720,2188
sumatra-berkey,30316,2064
sumatra-berkey,30332,2120
sumatra-berkey,29932,2212
sumatra-berkey,29732,2240
sumatra-berkey,29256,2108
sumatra-berkey,28900,2000
sumatra-berkey,28464,1972
sumatra-berkey,28472,2052
sumatra-berkey,28780,2056
sumatra-berkey,29252,2176
sumatra-berkey,29716,2304
sumatra-berkey,29820,2268
sumatra-berkey,30284,2208
sumatra-berkey,30728,2072
berkey-malacca,30136,1722
berkey-malacca,30398,1696
berkey-malacca,30910,1964
berkey-malacca,31190,2004
berkey-malacca,31784,1978
berkey-malacca,32346,2016
berkey-malacca,32606,1710
berkey-malacca,32556,1680
berkey-malacca,32338,1932
berkey-malacca,31564,1902
berkey-malacca,31570,1828
berkey-malacca,32308,1874
berkey-malacca,32628,1448
berkey-malacca,32704,1114
malacca-kalimun,32736,1424
malacca-kalimun,32948,1976
malacca-kalimun,33120,2236
malacca-kalimun,33412,2340
malacca-kalimun,33524,2352
malacca-kalimun,33744,2476
malacca-kalimun,33600,2292
malacca-kalimun,34192,2100
malacca-kalimun,34560,2020
malacca-kalimun,34976,2008
kalimun-longyamen,35068,1874
kalimun-longyamen,35236,1714
kalimun-longyamen,35420,1602
kalimun-longyamen,35748,1516
kalimun-longyamen,36104,1510
kalimun-longyamen,36292,1494
kalimun-longyamen,36712,1330
kalimun-longyamen,36972,1270
longyamen-baijiao,37132,1270
longyamen-baijiao,37656,1264
longyamen-baijiao,37732,1066
longyamen-baijiao,37934,852
longyamen-baijiao,38170,690
longyamen-baijiao,38280,634
baijiao-dongzhushan,37752,1384
baijiao-dongzhushan,38036,1464
baijiao-dongzhushan,38340,1464
baijiao-dongzhushan,38952,1572
baijiao-dongzhushan,39320,1472
baijiao-dongzhushan,39464,1478
dongzhushan-kunlun,39568,1488
dongzhushan-kunlun,39892,1600
dongzhushan-kunlun,40328,1616
dongzhushan-kunlun,40724,1592
dongzhushan-kunlun,41108,1676
dongzhushan-kunlun,41408,1764
kunlun-kega,49144,2324
kunlun-kega,49936,2738
kunlun-kega,50274,2752
kunlun-kega,50604,2678
kunlun-kega,51056,2472
northbound-page-11-b,52814,2980
northbound-page-11-b,53234,3080
northbound-page-11-b,53644,3118
northbound-page-11-b,53962,3118
northbound-page-11-b,54018,3358
northbound-page-11-b,54148,3582
northbound-page-11-b,54352,3752
northbound-page-11-b,54506,3766
northbound-page-10-a,55096,3810
northbound-page-10-a,55506,3872
northbound-page-10-a,55796,3868
northbound-page-10-a,56070,3816
northbound-page-10-a,56464,3856
northbound-page-10-a,56636,3832
northbound-page-10-b,57956,3344
northbound-page-10-b,58204,3096
northbound-page-10-b,58492,2924
northbound-page-10-b,58788,2816
northbound-page-10-b,59172,2772
northbound-page-10-b,59420,2784
northbound-page-9-a,60136,3304
northbound-page-9-a,60848,3444
northbound-page-9-a,62208,3248
northbound-page-9-a,62296,3288
northbound-page-9-a,62500,3284
northbound-page-9-b,62768,3120
northbound-page-9-b,63232,2992
northbound-page-9-b,63624,2976
northbound-page-9-b,64008,3040
northbound-page-9-b,64248,3128
northbound-page-9-b,64960,3128
northbound-page-9-b,65104,3088
northbound-page-9-b,65608,3216
northbound-page-9-b,65968,3312
northbound-page-9-b,66576,3280
northbound-page-9-b,66904,3240
northbound-page-8-a,65648,3376
northbound-page-8-a,66000,3436
northbound-page-8-a,66920,3380
northbound-page-8-b,68920,3452
northbound-page-8-b,69204,3624
northbound-page-8-b,69496,3728
northbound-page-8-b,69772,3768
northbound-page-8-b,70184,3680
northbound-page-8-b,70496,3652
northbound-page-8-b,70736,3700
northbound-page-8-b,70968,3800
northbound-page-7-a,71044,3704
northbound-page-7-a,71532,3780
northbound-page-7-a,71792,3776
northbound-page-7-a,72164,3720
northbound-page-7-a,72856,3708
northbound-page-7-a,73480,3720
northbound-page-7-a,73728,3712
northbound-page-7-a,74212,3832
northbound-page-7-a,74448,3956
northbound-page-7-a,74612,4080
northbound-page-7-a,74812,4100
northbound-page-7-b,75268,3944
northbound-page-7-b,75556,3812
northbound-page-7-b,75756,3792
northbound-page-7-b,75904,3812
northbound-page-7-b,75988,3960
northbound-page-7-b,76416,3964
northbound-page-7-b,76696,3980
northbound-page-7-b,77272,4112
northbound-page-7-b,77692,4108
northbound-page-7-b,77908,4084
northbound-page-7-b,78320,3992
nanji-damianshan,79280,3944
nanji-damianshan,79688,3588
nanji-damianshan,79836,3488
nanji-damianshan,80396,3496
nanji-damianshan,80996,3392
nanji-damianshan,81408,3360
nanji-damianshan,81580,3384
nanji-damianshan,82340,3560
nanji-damianshan,82964,3588
nanji-damianshan,83428,3508
nanji-damianshan,83908,3389
nanji-damianshan,84156,3357
nanji-damianshan,84656,3429
nanji-damianshan,85336,3377
nanji-damianshan,85656,3361
nanji-damianshan,86432,3085
nanji-damianshan,86676,3013
nanji-damianshan,86828,3025
nanji-damianshan,86816,3073
nanji-damianshan,86660,3061
nanji-damianshan,86508,3097
nanji-damianshan,86092,3285
nanji-damianshan,85752,3393
nanji-damianshan,85640,3405
nanji-damianshan,85656,3465
nanji-damianshan,85904,3429
